step,beta,energy
9570,15.9337,19
9580,16.0183,19
9590,16.1034,19
9600,16.189,19
9610,16.275,19
9620,16.3614,19
9630,16.4483,19
9640,16.5357,19
9650,16.6236,19
9660,16.7119,19
9670,16.8007,19
9680,16.8899,19
9690,16.9796,19
9700,17.0698,19
9710,17.1605,19
9720,17.2517,19
9730,17.3433,19
9740,17.4355,18
9750,17.5281,18
9760,17.6212,17
9770,17.7148,17
9780,17.8089,17
9790,17.9035,17
9800,17.9986,17
9810,18.0942,17
9820,18.1904,17
9830,18.287,17
9840,18.3842,17
9850,18.4818,17
9860,18.58,17
9870,18.6787,17
9880,18.7779,17
9890,18.8777,17
9900,18.978,17
9910,19.0788,17
9920,19.1801,17
9930,19.282,17
9940,19.3845,17
9950,19.4874,17
9960,19.591,17
9970,19.695,17
9980,19.7997,17
9990,19.9049,17
