step,beta,energy,rho,event
202,5.06759,465.962,13454.8,fracture_detected
203,5.09263,465.962,4054.53,step
203,5.09263,465.962,4054.53,fracture_detected
204,5.11767,465.962,477.94,step
204,5.11767,465.962,477.94,fracture_detected
205,5.14271,465.962,15105.3,step
205,5.14271,465.962,15105.3,fracture_detected
206,5.16774,465.962,3374.47,step
206,5.16774,465.962,3374.47,fracture_detected
207,5.19278,465.962,17939.8,step
207,5.19278,465.962,17939.8,fracture_detected
208,5.21782,465.962,15175.3,step
208,5.21782,465.962,15175.3,fracture_detected
209,5.24286,465.962,4266.9,step
209,5.24286,465.962,4266.9,fracture_detected
210,5.26789,465.962,3071.03,step
210,5.26789,465.962,3071.03,fracture_detected
211,5.29293,465.962,5171.73,step
211,5.29293,465.962,5171.73,fracture_detected
212,5.31797,465.962,4683.92,step
212,5.31797,465.962,4683.92,fracture_detected
213,5.34301,465.962,19785.3,step
213,5.34301,465.962,19785.3,fracture_detected
214,5.36805,465.962,30849.1,step
214,5.36805,465.962,30849.1,fracture_detected
215,5.39308,465.962,12935.6,step
215,5.39308,465.962,12935.6,fracture_detected
216,5.41812,465.962,13272.9,step
216,5.41812,465.962,13272.9,fracture_detected
217,5.44316,465.962,3253.96,step
217,5.44316,465.962,3253.96,fracture_detected
218,5.4682,465.962,4070.18,step
218,5.4682,465.962,4070.18,fracture_detected
219,5.49323,465.962,14727.3,step
219,5.49323,465.962,14727.3,fracture_detected
220,5.51827,465.962,7823.48,step
220,5.51827,465.962,7823.48,fracture_detected
221,5.54331,465.962,8673.62,step
221,5.54331,465.962,8673.62,fracture_detected
222,5.56835,465.962,10902.8,step
222,5.56835,465.962,10902.8,fracture_detected
223,5.59338,465.962,13914.4,step
223,5.59338,465.962,13914.4,fracture_detected
224,5.61842,465.962,2311.98,step
224,5.61842,465.962,2311.98,fracture_detected
225,5.64346,465.962,1869.63,step
225,5.64346,465.962,1869.63,fracture_detected
226,5.6685,465.962,249.174,step
226,5.6685,465.962,249.174,fracture_detected
227,5.69353,465.962,15770.3,step
227,5.69353,465.962,15770.3,fracture_detected
228,5.71857,465.962,901.865,step
228,5.71857,465.962,901.865,fracture_detected
229,5.74361,465.962,4926.59,step
229,5.74361,465.962,4926.59,fracture_detected
230,5.76865,465.962,3198.34,step
230,5.76865,465.962,3198.34,fracture_detected
231,5.79368,465.962,3203.05,step
231,5.79368,465.962,3203.05,fracture_detected
232,5.81872,465.962,31657.2,step
232,5.81872,465.962,31657.2,fracture_detected
233,5.84376,465.962,42694.9,step
233,5.84376,465.962,42694.9,fracture_detected
234,5.8688,465.962,4767.4,step
234,5.8688,465.962,4767.4,fracture_detected
235,5.89383,465.962,12215,step
235,5.89383,465.962,12215,fracture_detected
236,5.91887,465.962,10858.7,step
236,5.91887,465.962,10858.7,fracture_detected
237,5.94391,465.962,4916.61,step
237,5.94391,465.962,4916.61,fracture_detected
238,5.96895,465.962,21612.8,step
238,5.96895,465.962,21612.8,fracture_detected
239,5.99398,465.962,22746.5,step
239,5.99398,465.962,22746.5,fracture_detected
240,6.01902,465.962,6820.52,step
240,6.01902,465.962,6820.52,fracture_detected
241,6.04406,465.962,21546,step
241,6.04406,465.962,21546,fracture_detected
242,6.0691,465.962,25590,step
242,6.0691,465.962,25590,fracture_detected
243,6.09414,465.962,14191.7,step
243,6.09414,465.962,14191.7,fracture_detected
244,6.11917,465.962,6856.71,step
244,6.11917,465.962,6856.71,fracture_detected
245,6.14421,465.962,17614.6,step
245,6.14421,465.962,17614.6,fracture_detected
246,6.16925,465.962,4638.68,step
246,6.16925,465.962,4638.68,fracture_detected
247,6.19429,465.962,15465.1,step
247,6.19429,465.962,15465.1,fracture_detected
248,6.21932,465.962,6023.63,step
248,6.21932,465.962,6023.63,fracture_detected
249,6.24436,465.962,12835.3,step
249,6.24436,465.962,12835.3,fracture_detected
250,6.2694,465.962,11429.8,step
250,6.2694,465.962,11429.8,fracture_detected
251,6.29444,465.962,30789.3,step
251,6.29444,465.962,30789.3,fracture_detected
252,6.31947,465.962,3935.46,step
252,6.31947,465.962,3935.46,fracture_detected
253,6.34451,465.962,37243.9,step
253,6.34451,465.962,37243.9,fracture_detected
254,6.36955,465.962,30712.6,step
254,6.36955,465.962,30712.6,fracture_detected
255,6.39459,465.962,13875.8,step
255,6.39459,465.962,13875.8,fracture_detected
256,6.41962,465.962,34212.6,step
256,6.41962,465.962,34212.6,fracture_detected
257,6.44466,465.962,31585.1,step
257,6.44466,465.962,31585.1,fracture_detected
258,6.4697,465.962,1280.23,step
258,6.4697,465.962,1280.23,fracture_detected
259,6.49474,465.962,401.301,step
259,6.49474,465.962,401.301,fracture_detected
260,6.51977,465.962,13601.5,step
260,6.51977,465.962,13601.5,fracture_detected
261,6.54481,465.962,22438.7,step
261,6.54481,465.962,22438.7,fracture_detected
262,6.56985,465.962,21384.5,step
262,6.56985,465.962,21384.5,fracture_detected
263,6.59489,465.962,11319.8,step
263,6.59489,465.962,11319.8,fracture_detected
264,6.61992,465.962,22984.4,step
264,6.61992,465.962,22984.4,fracture_detected
265,6.64496,465.962,10109.3,step
265,6.64496,465.962,10109.3,fracture_detected
266,6.67,465.962,4233.39,step
266,6.67,465.962,4233.39,fracture_detected
267,6.69504,465.962,13970.2,step
267,6.69504,465.962,13970.2,fracture_detected
268,6.72008,465.962,7080.62,step
268,6.72008,465.962,7080.62,fracture_detected
269,6.74511,465.962,3815.63,step
269,6.74511,465.962,3815.63,fracture_detected
270,6.77015,465.962,9817.87,step
270,6.77015,465.962,9817.87,fracture_detected
271,6.79519,465.962,11331.7,step
271,6.79519,465.962,11331.7,fracture_detected
272,6.82023,465.962,28166.8,step
272,6.82023,465.962,28166.8,fracture_detected
273,6.84526,465.962,4396.59,step
273,6.84526,465.962,4396.59,fracture_detected
274,6.8703,465.962,6007.65,step
274,6.8703,465.962,6007.65,fracture_detected
275,6.89534,465.962,12606,step
275,6.89534,465.962,12606,fracture_detected
276,6.92038,465.962,1698.05,step
276,6.92038,465.962,1698.05,fracture_detected
277,6.94541,465.962,23630.9,step
277,6.94541,465.962,23630.9,fracture_detected
278,6.97045,465.962,24173.6,step
