step,beta,energy,rho,event
175,4.39158,4.82048e+09,1.93198e+13,fracture_detected
176,4.41662,4.82048e+09,3.74091e+12,step
176,4.41662,4.82048e+09,3.74091e+12,fracture_detected
177,4.44165,4.82048e+09,1.73684e+12,step
177,4.44165,4.82048e+09,1.73684e+12,fracture_detected
178,4.46669,4.82048e+09,1.19965e+12,step
178,4.46669,4.82048e+09,1.19965e+12,fracture_detected
179,4.49173,4.82048e+09,3.30627e+12,step
179,4.49173,4.82048e+09,3.30627e+12,fracture_detected
180,4.51677,4.82048e+09,5.80353e+11,step
180,4.51677,4.82048e+09,5.80353e+11,fracture_detected
181,4.5418,4.82048e+09,1.26844e+13,step
181,4.5418,4.82048e+09,1.26844e+13,fracture_detected
182,4.56684,4.82048e+09,6.06661e+12,step
182,4.56684,4.82048e+09,6.06661e+12,fracture_detected
183,4.59188,4.82048e+09,1.94673e+13,step
183,4.59188,4.82048e+09,1.94673e+13,fracture_detected
184,4.61692,4.82048e+09,4.92552e+10,step
184,4.61692,4.82048e+09,4.92552e+10,fracture_detected
185,4.64195,4.82048e+09,4.82027e+11,step
185,4.64195,4.82048e+09,4.82027e+11,fracture_detected
186,4.66699,4.82048e+09,1.05423e+13,step
186,4.66699,4.82048e+09,1.05423e+13,fracture_detected
187,4.69203,4.82048e+09,2.55304e+12,step
187,4.69203,4.82048e+09,2.55304e+12,fracture_detected
188,4.71707,4.82048e+09,5.59437e+12,step
188,4.71707,4.82048e+09,5.59437e+12,fracture_detected
189,4.74211,4.82048e+09,3.37152e+12,step
189,4.74211,4.82048e+09,3.37152e+12,fracture_detected
190,4.76714,4.82048e+09,4.86958e+12,step
190,4.76714,4.82048e+09,4.86958e+12,fracture_detected
191,4.79218,4.82048e+09,9.83639e+12,step
191,4.79218,4.82048e+09,9.83639e+12,fracture_detected
192,4.81722,4.82048e+09,1.08704e+13,step
192,4.81722,4.82048e+09,1.08704e+13,fracture_detected
193,4.84226,4.82048e+09,1.65e+12,step
193,4.84226,4.82048e+09,1.65e+12,fracture_detected
194,4.86729,4.82048e+09,7.10086e+11,step
194,4.86729,4.82048e+09,7.10086e+11,fracture_detected
195,4.89233,4.82048e+09,5.81405e+12,step
195,4.89233,4.82048e+09,5.81405e+12,fracture_detected
196,4.91737,4.82048e+09,4.84664e+10,step
196,4.91737,4.82048e+09,4.84664e+10,fracture_detected
197,4.94241,4.82048e+09,1.17971e+12,step
197,4.94241,4.82048e+09,1.17971e+12,fracture_detected
198,4.96744,4.82048e+09,6.48314e+12,step
198,4.96744,4.82048e+09,6.48314e+12,fracture_detected
199,4.99248,4.82048e+09,2.40898e+13,step
199,4.99248,4.82048e+09,2.40898e+13,fracture_detected
200,5.01752,4.82048e+09,2.7663e+13,step
200,5.01752,4.82048e+09,2.7663e+13,fracture_detected
201,5.04256,4.82048e+09,2.45717e+12,step
201,5.04256,4.82048e+09,2.45717e+12,fracture_detected
202,5.06759,4.82048e+09,2.82767e+12,step
202,5.06759,4.82048e+09,2.82767e+12,fracture_detected
203,5.09263,4.82048e+09,2.27375e+13,step
203,5.09263,4.82048e+09,2.27375e+13,fracture_detected
204,5.11767,4.82048e+09,2.08686e+13,step
204,5.11767,4.82048e+09,2.08686e+13,fracture_detected
205,5.14271,4.82048e+09,4.9399e+12,step
205,5.14271,4.82048e+09,4.9399e+12,fracture_detected
206,5.16774,4.82048e+09,2.39673e+12,step
206,5.16774,4.82048e+09,2.39673e+12,fracture_detected
