step,beta,energy,rho,type
187,0.472167,222,2953.38,fracture_detected
188,0.474157,222,3790.17,step
188,0.474157,222,3790.17,fracture_detected
189,0.476148,222,2860.95,step
189,0.476148,222,2860.95,fracture_detected
190,0.478138,222,232.382,step
190,0.478138,222,232.382,fracture_detected
191,0.480128,222,1567.05,step
191,0.480128,222,1567.05,fracture_detected
192,0.482118,222,834.349,step
192,0.482118,222,834.349,fracture_detected
193,0.484108,222,4115.5,step
193,0.484108,222,4115.5,fracture_detected
194,0.486099,222,2180.5,step
194,0.486099,222,2180.5,fracture_detected
195,0.488089,222,5632.88,step
195,0.488089,222,5632.88,fracture_detected
196,0.490079,222,892.351,step
196,0.490079,222,892.351,fracture_detected
197,0.492069,222,5424.67,step
197,0.492069,222,5424.67,fracture_detected
198,0.494059,222,3751.2,step
198,0.494059,222,3751.2,fracture_detected
199,0.49605,222,2027.91,step
199,0.49605,222,2027.91,fracture_detected
200,0.49804,222,95.0622,step
200,0.49804,222,95.0622,fracture_detected
201,0.50003,222,3457.1,step
201,0.50003,222,3457.1,fracture_detected
202,0.50202,222,709.952,step
202,0.50202,222,709.952,fracture_detected
203,0.50401,222,1005.73,step
203,0.50401,222,1005.73,fracture_detected
204,0.506001,222,525.798,step
204,0.506001,222,525.798,fracture_detected
205,0.507991,222,644.541,step
205,0.507991,222,644.541,fracture_detected
206,0.509981,222,7446.36,step
206,0.509981,222,7446.36,fracture_detected
207,0.511971,222,4085.96,step
207,0.511971,222,4085.96,fracture_detected
208,0.513961,222,1786.59,step
208,0.513961,222,1786.59,fracture_detected
209,0.515952,222,2339.4,step
209,0.515952,222,2339.4,fracture_detected
210,0.517942,222,237.937,step
210,0.517942,222,237.937,fracture_detected
211,0.519932,222,11191.7,step
211,0.519932,222,11191.7,fracture_detected
212,0.521922,222,6420.62,step
212,0.521922,222,6420.62,fracture_detected
213,0.523912,222,372.925,step
213,0.523912,222,372.925,fracture_detected
214,0.525903,222,948.274,step
214,0.525903,222,948.274,fracture_detected
215,0.527893,222,2572.02,step
215,0.527893,222,2572.02,fracture_detected
216,0.529883,222,4972.22,step
216,0.529883,222,4972.22,fracture_detected
217,0.531873,222,6882.08,step
217,0.531873,222,6882.08,fracture_detected
218,0.533863,222,6929.26,step
218,0.533863,222,6929.26,fracture_detected
219,0.535854,222,2652.07,step
219,0.535854,222,2652.07,fracture_detected
220,0.537844,222,4259.64,step
220,0.537844,222,4259.64,fracture_detected
221,0.539834,222,2461.59,step
221,0.539834,222,2461.59,fracture_detected
222,0.541824,222,797.829,step
222,0.541824,222,797.829,fracture_detected
223,0.543814,222,1.4229,step
224,0.545805,222,2797.92,step
224,0.545805,222,2797.92,fracture_detected
225,0.547795,222,2738.8,step
225,0.547795,222,2738.8,fracture_detected
226,0.549785,222,836.63,step
226,0.549785,222,836.63,fracture_detected
227,0.551775,222,745.32,step
227,0.551775,222,745.32,fracture_detected
228,0.553765,222,1080.33,step
228,0.553765,222,1080.33,fracture_detected
229,0.555756,222,2447.21,step
229,0.555756,222,2447.21,fracture_detected
230,0.557746,222,4337.64,step
230,0.557746,222,4337.64,fracture_detected
231,0.559736,222,4737.5,step
231,0.559736,222,4737.5,fracture_detected
232,0.561726,222,1243.47,step
232,0.561726,222,1243.47,fracture_detected
233,0.563716,222,7107.24,step
233,0.563716,222,7107.24,fracture_detected
234,0.565707,222,2789.18,step
234,0.565707,222,2789.18,fracture_detected
235,0.567697,222,525.278,step
235,0.567697,222,525.278,fracture_detected
236,0.569687,222,1671.28,step
236,0.569687,222,1671.28,fracture_detected
237,0.571677,222,534.146,step
237,0.571677,222,534.146,fracture_detected
238,0.573667,222,4611.94,step
238,0.573667,222,4611.94,fracture_detected
239,0.575658,222,2672.55,step
239,0.575658,222,2672.55,fracture_detected
240,0.577648,222,4391.05,step
240,0.577648,222,4391.05,fracture_detected
241,0.579638,222,236,step
241,0.579638,222,236,fracture_detected
242,0.581628,222,1403.47,step
242,0.581628,222,1403.47,fracture_detected
243,0.583618,222,1920.55,step
243,0.583618,222,1920.55,fracture_detected
244,0.585609,222,2752.26,step
244,0.585609,222,2752.26,fracture_detected
245,0.587599,222,1361.45,step
245,0.587599,222,1361.45,fracture_detected
246,0.589589,222,2332.19,step
246,0.589589,222,2332.19,fracture_detected
247,0.591579,222,4788.12,step
247,0.591579,222,4788.12,fracture_detected
248,0.593569,222,4864.28,step
248,0.593569,222,4864.28,fracture_detected
249,0.59556,222,1673.91,step
249,0.59556,222,1673.91,fracture_detected
250,0.59755,222,6648.66,step
